Year,current_amount
1978,78377000
1979,50864000
1980,58564000
1981,76793000
1982,200801000
1983,539511000
1984,608128000
1985,665201000
1986,668353000
1987,665070000
1988,726603000
1989,583040000
1990,542357889
1991,101266220
1992,21402699
1993,52674000
1994,49608000
1995,17121000
1996,17195724
1997,43936318
1998,28263005
1999,83718175
2000,23762793
2001,177298727
2002,831479092
2003,562922013
2004,401432598
2005,712361699
2006,887504728
2007,823888931
2008,872874943
2009,1174156071
2010,2681741168
2011,1943959645
2012,1240304044
2013,812448359
2014,1000290196
2015,1139857141
2016,779773893
2017,836783833
