Year,ter_inc,current_amount
1978,2,78377000
1979,7,50864000
1980,1,58564000
1981,4,76793000
1982,4,200801000
1983,9,539511000
1984,3,608128000
1985,2,665201000
1986,24,668353000
1987,60,665070000
1988,44,726603000
1989,45,583040000
1990,87,542357889
1991,150,101266220
1992,85,21402699
1994,154,49608000
1995,666,17121000
1996,180,17195724
1997,206,43936318
1998,37,28263005
1999,39,83718175
2000,49,23762793
2001,53,177298727
2002,46,831479092
2003,29,562922013
2004,67,401432598
2005,77,712361699
2006,164,887504728
2007,260,823888931
2008,568,872874943
2009,667,1174156071
2010,713,2681741168
2011,1012,1943959645
2012,1654,1240304044
2013,2215,812448359
2014,2151,1000290196
2015,1243,1139857141
2016,864,779773893
2017,719,836783833
